defensive_team,posteam,receiver,air_yards,pass_location,reception
TEN,CLE,N.Chubb,-1,1,1
TEN,CLE,D.Johnson,4,2,1
CLE,TEN,D.Lewis,-2,1,1
TEN,CLE,D.Njoku,5,3,1
TEN,CLE,J.Landry,16,2,1
TEN,CLE,N.Chubb,-1,1,1
TEN,CLE,J.Landry,29,3,1
TEN,CLE,D.Njoku,0,2,1
CLE,TEN,D.Henry,-5,1,1
TEN,CLE,N.Chubb,3,1,1
TEN,CLE,D.Ratley,10,3,1
TEN,CLE,NA,18,3,0
CLE,TEN,De.Walker,8,1,1
TEN,CLE,J.Landry,0,3,1
TEN,CLE,NA,3,1,0
CLE,TEN,De.Walker,-2,3,1
TEN,CLE,N.Chubb,5,2,0
TEN,CLE,O.Beckham,27,1,0
TEN,CLE,D.Johnson,4,3,1
TEN,CLE,D.Njoku,3,2,1
TEN,CLE,O.Beckham,11,1,0
TEN,CLE,NA,8,1,0
IND,LAC,K.Allen,2,3,1
LAC,IND,T.Hilton,-5,3,1
LAC,IND,D.Cain,7,3,1
IND,LAC,A.Ekeler,-4,3,1
IND,LAC,A.Ekeler,1,2,1
IND,LAC,J.Jackson,9,3,0
IND,LAC,D.Inman,4,1,1
IND,LAC,K.Allen,1,2,1
IND,LAC,A.Ekeler,0,3,1
LAC,IND,D.Funchess,6,1,1
LAC,IND,J.Doyle,7,1,1
LAC,IND,N.Hines,-6,3,1
LAC,IND,M.Alie-Cox,3,3,1
LAC,IND,T.Hilton,5,3,1
LAC,IND,J.Doyle,3,2,0
LAC,IND,T.Hilton,4,1,1
IND,LAC,K.Allen,24,1,1
IND,LAC,T.Benjamin,-5,2,1
IND,LAC,A.Ekeler,-5,1,1
IND,LAC,K.Allen,28,1,1
LAC,IND,D.Funchess,4,1,0
IND,LAC,K.Allen,5,1,0
IND,LAC,M.Williams,8,1,1
IND,LAC,T.Taylor,-4,3,0
IND,LAC,A.Ekeler,2,1,0
IND,LAC,H.Henry,15,3,0
IND,LAC,M.Williams,12,1,0
LAC,IND,D.Cain,25,1,1
LAC,IND,D.Funchess,16,1,1
LAC,IND,N.Hines,-1,1,1
LAC,IND,E.Ebron,8,2,1
LAC,IND,E.Ebron,5,3,0
IND,LAC,T.Benjamin,2,1,1
IND,LAC,H.Henry,0,2,1
IND,LAC,A.Ekeler,-5,3,1
LAC,IND,T.Hilton,12,2,1
IND,LAC,A.Ekeler,-2,1,1
LAC,IND,T.Hilton,6,1,1
LAC,IND,N.Hines,0,3,1
